sub_query,rerank_score,score,source,document_id,revision,chunk_index,title,page,text_content
"How does the organization ensure design controls are applied across the lifecycle for new, modified, and legacy devices?",0.01374232,0.312396348,D68779 HAL 4.0 Risk Control Measures Trace Matrix rev01.pdf,D68779,1,8,2. Risk Control Measures Verification Trace Matrix (Continued),6,Doc Number Rev. Date Date of last e- D68779 01 Sign Format DND01T01 Rev 02   Page 6 of 176 movement will be gradual slippage so th 393675 Eliminated hand pendant and cables that could get stressed 394675 Eliminated pendant 605425 Design Control - STN - Eliminated pendant  TDS.Halcyon30.System.TRR_03.00.0031 558825 Halcyon Default Passed NA 393676 Covers designed to close all gaps 397248 Covers Foreseeable Misuse 2319 SYRS1665.2.6.5; The covers shall be ... 2.0.10 14695 Passed NA NA 393677 Ease of handling by lightweight design and handles 394431 Ease of handling 605382 Design Control - IMG - The drum phantom shall be design to be lightweight  TDS.Halcyon30.System.TRR_03.00.0031 558792 Halcyon Default Passed NA 393678 System provides users clear guidance to reduce confusion 394631 Simplicity 605416 Design Control - STN - User input devices shall have minimum functions and guide user thru workflow TDS.Halcyon30.System.TRR_03.00.0031 558803 Halcyon Default Passed NA
What criteria are used to classify a product as a medical device under applicable regulatory jurisdictions?,0.013584392,0.398245305,D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,394,6. The MSO shall only be used to power the console cabinet (Continued),218-219,"e) The MANUFACTURER documents the software safety class of each SOFTWARE ITEM if that class is different from the class of the SOFTWARE ITEM from which it was created by decomposition HAL software is classified as Safety Class C Procedures used: RSK0101 Medical Device Risk Management RSK0101T01 Risk Management Plan Device records: D59555 HAL 4.0 Risk Management Plan D56979 HAL 4.0 Risk Management Report P f) When applied to a group of SOFTWARE ITEMS, the MANUFACTURER uses the PROCESSES and TASKS which are required by the classification of the highest-classified SOFTWARE ITEM in the group unless the MANUFACTURER documents in the RISK MANAGEMENT FILE a rationale for using a lower classification HAL software is classified as Safety Class C Procedures used: RSK0101 Medical Device Risk Management RSK0101T01 Risk Management Plan Device records: D59555 HAL 4.0 Risk Management Plan D56979 HAL 4.0 Risk Management Report P Page 219 of 352                           Report No.106485676MIN-001"
Is traceability established from requirements to design to verification and validation?,0.013376604,0.302014679,D40348 HAL 4.0 TSCL for SN 4 Release 4.00.0122 Rev14.pdf,D40348,14,6,4.0 verification and validation testing. (Continued),5-6,"Verification TRR SN4-DHR Verification TRR SN6-DHR Verification TRR SN7-DHR Verification TRR SN3-DHR Validation TRR SN4-DHR Validation TRR SN6-DHR Validation TRR SN7-DHR Validation TRR QA – Production Equivalency Comparison SN11 SN1001 SN1002 Machine upgrades for Verification TRR - QNotes Machine upgrades for Validation TRR - QNotes @ Final Pre-production Units Production Equivalent Units for Validation Testing Verification Test Units · Issue investigation · Impact Analysis è Part dispositioning suggestion · Design Change · CAD update · SAP update · Final part dispositioning decision · Follows EC (document) workflow in SAP UX1, UX2, Other Labs UX1, UX2, Other Labs - Config Verification TRR SN9-DHR Validation TRR SN10-DHR Validation TRR Figure 1. Configuration management process overview for Verification and Validation Test Environments Halcyon 4.0 Test System Configuration List Serial Number 4, System Build 04.00.0122 Effective Date Doc Number Revision D 40348 14 See date of last e-sign"
Is each device uniquely identified and linked to its technical documentation?,0.013325147,0.2364527585,D75417 IEC 25051-GB T25000 Compliance for HAL 4.0 Rev 01.pdf,D75417,1,8,Document_Header (Continued),4,"clinical studies or predecessor devices (SW). 5.1.5.2 The product description shall provide an overview of end user callable functions of the product. An overview is described in detail within the operator manual. Additionally, there exits technical documentation for the devices SW for e.g., configuration of interfaces (e.g. DICOM nodes) 5.1.5.3 The product description shall describe all functions which the user may be encountered critical defects. All relevant information is given in the operating manual. Additionally, training modules are available, or training is provided on site by a clinical/application specialist for the customer as needed. NOTE 1 Critical defects may be: — data loss; — deadlock. NOTE 2 Refer to ISO/IEC 15026 for more information. 5.1.5.4 The product description shall describe all known limitation that the user may encounter. Limitations are defined in the relevant safety standards and are described if relevant for the users within the operator manual."
How are product variants and configurations managed within technical documentation?,0.013171949,0.336435646,D68599 Hal 4.0 Design Verification Trace Matrix Rev 02.pdf,D68599,2,2223,20. (Subsys) Tech Pubs,701,"Req ID Requirement Description Test ID Test NameProduct Identifier/ Version Run ID Configuration Status Issue ID (Defects) 395959 The User Instructions for the couch shall be documented 450175 User Instructions HAL40_SYSTEM_REL_04.00.0012 1117043 Halcyon Default Passed NA 395960 The Maintenance Instructions for the couch shall be documented 450176 Maintenance Instructions HAL40_SYSTEM_REL_04.00.0012 1163928 Halcyon Default Passed NA 395961 The Installation Instructions for the couch shall be documented 450177 Installation Instructions HAL40_SYSTEM_REL_04.00.0012 1163936 Halcyon Default Passed NA 396456 Installation instructions shall include directions to place labelling on the floor around the pit warning of the trip hazard. 451412 TPVerify_Pit_Trip_Warning_Labels HAL40_SYSTEM_REL_04.00.0012 1117046 Halcyon Default Passed NA 396477 The system shall have warning labels where there can still be hazardous voltage present, within the Console Cabinet,"
How are product variants and configurations managed within technical documentation?,0.0131212715,0.329230785,D67423 HAL 4.0 Product Technical Requirements Rev 02.pdf,D67423,2,6,1.  Product Model > 1.4 Version Naming Rule (Continued),3-4,"X-ray Energy 6X FFF (optional) (MV) Multileaf 114 Leaf Stacked Multileaf Collimator Collimator (MLC) Low X-ray 80 kV Imaging Energy Treatment Couch Configured with normal 3 Degrees of Freedom (3DOF) couch top D67423 HAL 4.0 Product Technical Requirements This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Effective Date Doc Number Rev See page 1 for D67423 02 Effective date Once printed or downloaded, this document becomes an uncontrolled copy. DND06F01 Rev 01  Page 4 of 38"
"How are changes such as maintenance releases, configuration changes, or software updates evaluated to determine if design controls apply?",0.012920474,0.396111757,D95548 HAL 4.0MR2 (HAL Evolve) Product Versioning Memo Rev 01.pdf,D95548,1,5,3.0 Version Consideration (Continued),2-3,"therefore no new risks. Are existing features being improved? *NO NO changes to features of functionality If existing features being modified, are major, new functionalities being added? ***NO NO changes to features of functionality HAL 4.0 MR2 (HAL Evolve) Product Versioning Memo for New China Model Revision Doc Number 01 D95548 Varian Confidential REG0508F02 Rev 01 This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 3 of 4 Are all changes issue fixes / hot fixes? * NO No open issues fixes are in scope. changes include software support for a new HAL model name called Halcyon Evolve Note: *** Likely a Major Change as a single item ** Likely at least a Minor Change as a single item/possibly Major if 3 or more are “Yes” * Likely a Maintenance Change National Medical Products Administration (NMPA) software changes checklist"
Is traceability established from requirements to design to verification and validation?,0.012771867,0.285400867,D68686 HAL 4.0 Cybersecurity Summary Report Rev 03.pdf,D68686,3,35,3. Product Architecture > 3.3 Assets > 4.2.2 Traceability (Continued),17,"Workflow ID: 202161542, Doc Title: HAL 4.0 Cybersecurity Summary Report, Doc No:D68686, Rev: 03, Approver: Chi Tran (csr3911), Title: Design Quality Assurance, Date: Thursday, 07/13/2023 10:45 AM  Pacific Daylight Time, Meaning: I acknowledge my electronic signature carries the same meaning as a handwritten signature"
How are product variants and configurations managed within technical documentation?,0.012771867,0.324905813,D68014 HAL 4.0 Validation Summary Report Rev 02.docx.pdf,D68014,2,45,35. HAL 4.0 Validation Scorecard - D65886 – Rev 02 (Continued),21,"This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D68014 Date of Last 02 eSign DND09T02 Rev 02   Page 21 of 72 Traced Item ID Traced Item Traced Item ShortTest Suite AC ID AC Short Description Test ID Test Name DescriptionName Product Identifier/Issue ID Run ID Configuration Status Version(Defects) User 512053 Need Customer facing documentation provides clear & accurate information to complete the tasks at hand Halcyon AC2: Instructions for Use –IFU - Configuration 512057452048IFU-PDF HAL40_SYSTEM_REL_04.00.0033 1262243Documentation - Configuration Administrator sectionAdministrator section PDF Passed NA User 512053 Need Customer facing documentation provides clear & accurate information to complete the tasks at hand Halcyon AC2: Instructions for Use –IFU - Configuration"
Who has responsibility for maintaining technical documentation?,0.012722708,0.307808787,D53716 Rev0.3 HAL4.0 KV collimator motion test WI.pdf,D53716,3,6,5.0 Responsibilities,2-3,"It is the responsibility of the technician to execute this test process This includes physical checks, running software, verifying results, and changing settings if necessary. ATTENTION: The process described in this document includes handling of electrostatic sensitive components. It is required to follow the ESD Work Instruction ME 703 or CVOP-003. MANUFACTURING INSTRUCTION (MI) [HAL4.0 KV collimator motion test] This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Released Date Rev MI Document Number D53716 0.3 See Signature Page Format DOC0102T02 Rev 02  ONCE PRINTED OR DOWNLOADED THIS DOCUMENT BECOMES AN UNCONTROLLED COPY Page 3 of 11"
How are updates and revisions to technical documentation controlled?,0.012576348,0.360853136,D77711 Halcyon and Ethos Radiotherapy System 4.0 IFU (P1039628-003-C) Checklist Rev 01.docx.pdf,D77711,1,8,3.0 Checklist (Continued),4,"report. Note: Zoomin help is tested as part of the application; no separate test report is required. N/A 24-Jul-23 Standalone 22. RUA verification Verify the technical function of the standalone RUA, following the Standalone RUA Test Execution Report guidelines. - Record verification in for instance, ADLM, JAMA, or in the test report. - Inform the IAS team about the need to test the RUA in mobile device apps. N/A 24-Jul-23 Revisions 23. post-Formal Review Revise per reviews. - Verify the accuracy and clarity of changed content with reviewers. Perform a second peer (editorial review) of any major content revisions made after the Formal Review. - Update the Review Report for resolution of the additional findings. - Record and justify any content updates or issues to be deferred to the next release. Done 12-Jul-23 24. Final DITA QA Run and document a final DITA QA on the UA files: - Verify technical compliance of files with Varian Information Model including that image"
Does the organization have documented design and development procedures compliant with applicable regulations?,0.012527932,0.252978775,D69516 Hal 4 Therapy Readiness Check  AAMI RT2 2017.pdf,D69516,,4,Document_Header (Continued),5-6,"likely to cause death or serious injury, when a QUALIFIED PERSON uses the product as directed. Note: Conformance with the normative clauses in ISO 14971 may be considered as evidence of compliance. FMEA P the RESPONSIBLE ORGANIZATION is to employ, at a minimum, industry-standard or peer reviewed published consensus quality assurance measures appropriate for the treatments being planned and delivered.  For example, published reports from AAPM Task Groups 40, 53, 100 and 142. IFU has an AAPM 142 example to the RESPONSIBLE ORGANIZATION to create policies for the department P Page 6 of 12 Report No. D69516 TRF No. AAMI RT2 MANUFACTURER provided compliance statement 4.3 (ACCOMPANYING DOCUMENTS) P 4.3.1 The MANUFACTURER claiming compliance with this standard for a given product is to include a statement of compliance in the ACCOMPANYING DOCUMENTS for that product, detailing the rationale for such claims. Type test Documents P Compliance statements should include a description of"
How does the organization determine which products/devices are subject to design and development controls?,0.01243165,0.340277165,D70060 HAL 4.0 GSPR Checklist Rev2.docx.pdf,D70060,2,21,2. Canada Medical Device Regulations (CMDR) – 2024-12-14 (Continued),8,"Management Report. Verification Summary Report:  D68588 Validation Summary Report: D68014 Risk Management Report (RMR):  D56979 MDR GSPR Substances 2(10.4) MDR GSPR 2(10.4.1) CMDR 15, 16 AU EP 7.4, 7.5 Design and manufacture of devices Devices shall be designed and manufactured in such a way as to reduce as far as possible the risks posed by substances or particles, including wear debris, degradation products and processing residues, that may be released from the device. Devices, or those parts thereof or those materials used therein that: a) are invasive and come into direct contact with the human body, b) (re)administer medicines, body liquids or other substances, including gases, to/from the body, or c) transport or store such medicines, body fluids or substances, including gases, to be (re)administered to the body, EN ISO 13485: 2016 EN ISO 14971:2019 +A11:2021 The use of the quality system standard EN ISO 13485 assures design and manufacture quality."
How is risk integrated into design and development activities?,0.01243165,0.354551166,D53809-Tools Design and Development-kV collimator assembly tooling Rev 01.docx.pdf,D53809,1,9,3. Risk Assessment,6-7,"3.1 Design Failure Modes and Effects Analysis An examination was performed on the HAL kV collimator assembly tooling to identify specific position of the design, that need to be analyzed to verify that minimum required factors of safety are being met. Hazards and harm affecting operator and kV collimator assembly itself failures are considered. The results of the examination are presented below in Table 1. Table 1:Hazard/Risk examination Analysis Set RISK ID  Failure Mode Potential Cause Potential Effects 3.1.1 - Compression Distortions of the tooling structure due to excessive stress or inadequate stiffness Hard to separate kV collimator assembly from tooling fixture Unbalance structure due to the 3.1.2 - Overturning Co changes at different assembly stages Assembly overturning parts damaged kV Collimator Assembling Tools Design and Development This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written"
Are document control processes followed?,0.012241275,0.28482753,D64929 HAL 4.0 Validation Test Design Strategy Rev 02.docx.pdf,D64929,2,267,4. Validation Test Approach > 4.4 Test Case Selection Rationale > 4.4.3 Risk Control Measure Validation > 4.4.3.2 RCMs for Legacy Features (Continued),90,Control couch material Manufacturing documentation instructs personnel to verify couch material complies with specification. N/A TEST CASE 601543 Manufacturing RCMs 2 N/A – in scope for No Validation TRR1 2 Legacy N/A RISK CONTROL MEASURE 394048 Supplier Process Control - material quality of fasteners Manufacturing ACCEPTANCE CRITERIA 601131 quality of material for fasteners Manufacturing documentation instructs personnel to verify the quality of material for fasteners complies with specification N/A TEST CASE 601543 Manufacturing RCMs 2 N/A – in scope for No Validation TRR1 2 Legacy N/A RISK CONTROL MEASURE 394012 Process Control - covers installed during manufacturing to ensure fit Manufacturing ACCEPTANCE CRITERIA 600330 Covers fit check Manufacturing documentation instructs personnel to install covers to check fit for gaps. N/A TEST CASE 601543 Manufacturing RCMs 2 N/A – in scope for No Validation TRR1 2 Legacy N/A RISK CONTROL MEASURE 394009 Manufacturing Process control -
Are document control processes followed?,0.012194132,0.297719717,D68779 HAL 4.0 Risk Control Measures Trace Matrix rev01.pdf,D68779,1,370,2. Risk Control Measures Verification Trace Matrix (Continued),139,"605232 Mfg-Assembly-Controls Beam Generation: Lead Ring and Tungsten Cap Bolts - Process control for torque tightening process (value and pattern) TDS.Halcyon30.System.TRR_03.00.0031 558836 Halcyon Default Passed NA 394037 Assembly instruction and QA check in manufacturing 394243 Inspect CTF - Weight (for overmolded lead only), Size controlling TVL, Material 605494 Mfg Manufacture Controls - Beam Centerline Shielding Inspect CTF - Weight (for overmolded lead only), Size controlling TVL, Material TDS.Halcyon30.System.TRR_03.00.0031 559475 Halcyon Default Passed NA 394037 Assembly instruction and QA check in manufacturing 394523 Periodically wiring check 1095776 CTR/CTS Periodic Wiring Check Document HAL40_SYSTEM_REL_04.00.0023 1229825 Halcyon Default Passed NA 394037 Assembly instruction and QA check in manufacturing 394555 Motor Drive Assembly 1095800 CTR motor drive assembly Document Check HAL40_SYSTEM_REL_04.00.0023 1229858 Halcyon Default Passed NA"
How is completeness and consistency of technical documentation ensured?,0.012100386,0.312833846,D63983 Halcyon 4.0 UA Checklist Rev 01.pdf,D63983,1,5,3.0 Checklist (Continued),2,"Done 19-Jul-22 Crowther HIPAA 10. Verify with Engineering project team that HIPAA statement matches product capabilities. Partially done (justify) Per RA: No HIPAA statement of compliance 20-Jul-22 required for the IFU. Internal 11. reviews Collaborate with subject-matter experts (advisors) to verify accuracy and usability of content. Done 25-Apr-22 View product demos to verify Done 8-Jul-21 Demos Dragon M07 Demo 12. features and workflow. Simulate or keystroke procedures to verify accuracy and workflow. Done 21-Jul-22 Keystroking IFU last dates 13. Quality checks 14. Ongoing: Check quality: - Run Acrolinx to check and correct grammar, syntax, and spelling on new and revised content. - Run DITA QA and Schematron checks as needed to check XML quality. (DITA technical review is required for final DITA QA only.) - [For new content and as needed] Conduct peer and editorial reviews of content to verify style, clarity, consistency, information architecture, and Localization-readiness."
Is traceability established from requirements to design to verification and validation?,0.012100386,0.2721605,D53810 Rev02 HAL4.0 KV collimator motion test tooling TDD.pdf,D53810,2,31,5. Verification and Validation > 5.2 Verification Test Specification > 5.2.1 Verification plan,17,"This test verifies all requirements in section 2.3 Function to be tested: Test Environment: KV sub workstation Req./Hazard/Use Case: Verify all requirements in section 2.3 are satisfied Build version: N/A Test Spec Version: N/A Test Step: Action Expected Result Observed Result (if not Expected Result) Pass (Y/N) 1. Connect tooling cable to KV collimator, follow the guidance in WI D53716. All tooling cables are connected to KV collimator correctly. Connect X1/X2/Y1/Y2/F to A/B/C/D/E axes correctly in sequence. Y 2. Plug in tooling 220V power input connector. The tooling should power on, the LED of industrial PC and power button should be lighted. Monitor should show Windows desktop. Push button, and LED show green light. Y 3. Double click icon ‘HAL4.0 KV test program’ on desktop. GalilTools software should be opened. GalilTools UI shows on Windows desktop. Y 4. Click ‘connect’ button to select IP address ‘192.168.1.21’ GalilTools connect with DMC4183 driver successfully,"
How does the organization determine which products/devices are subject to design and development controls?,0.012053779,0.316119671,D59555 HAL 4.0 Risk Management Plan rev03.pdf,D59555,3,31,8.0 Production and Post-production Information,9-10,"Production and post-production information will be continually monitored and analyzed to determine if new risks have been identified and to review the assessments of known risks to maintain an effective risk management process. This information includes, but is not limited to, design and process changes, revisions of standards, identifications of defects, and reports of complaints. In addition to Varian’s information about the device, the following shall be reviewed: • Information on similar devices on the market; • Publicly available information such as recalls, FDA Medical Device Reports, and vigilance reports; • Scientific literature. Analysis of relevant data is used to demonstrate that risk-based decisions and risk control measures for this device are appropriate and effective. HAL 4.0 Risk Management Plan Revision Doc Number 03 D59555 Varian Confidential RSK0101T01 Rev 03 This document contains confidential, proprietary information of Varian Medical Systems."
"Are all devices, including accessories, software, variants, and families, appropriately identified and included?",0.011961099,0.247498229,D54978 HAL 4.0 Regulatory Plan Rev 5.0.pdf,D54978,5,142,2. “Ethos Radiotherapy System ” > 9.8 Brazil Marketing Clearance Strategy > 9.8.1 Brazil documentation requirements (Continued),65-66,"functional, dimensional, etc), components, cautions, warranty, etc Copy or file Service manual, including: calibration and maintaining operations procedure and frequency cleaning procedures intensity and distribution of the radiation safety manual installation manual Prepare a separated list of all the accessories for exclusive use, consumables and optionals, including codes and pictures of each one. We must amend this list to the operator´s manual. It is a requirement of the Brazilian regulation. Copy or file VERY IMPORTANT! Regulatory Plan Revision Doc Number 5.0 D54978 Varian Confidential REG0504F01 Rev 05 This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Page 66 of 83 Documentation Required Original/ Copy or file Notes In case of family* of products, we will request a comparative table between the models showing the differences and"
Does the organization have documented design and development procedures compliant with applicable regulations?,0.011869121,0.23824160079999998,D70082 HAL 4.0 Standards Attestation Rev 03.docx.pdf,D70082,3,1,Document_Header (Continued),2,"This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 2 of 5 The following harmonized standards and common specifications (CS) have been applied, in whole or in part, during the design, development, testing, and manufacture of the HAL 4.0 (Including Halcyon 4.0 and Ethos Radiotherapy 4.0) to satisfy the safety and effectiveness requirements of the EU Medical Device Regulation 2017/745. The standards’ editions have been reviewed to ensure the design, development, testing and manufacture of the device maintains the state of the art per the EU MDR. Standard / CSStandard / CS Title Full / Partial Compliance EU Harmonized Standard EN ISO 13485:2016Medical devices – Quality management systems – Requirements for regulatory purposes ☒  Full ☐  Partial ☒  Yes ☐  No EN ISO 14971:2019 +A11:2021 Medical devices – Application of risk management to medical devices"
Is each device uniquely identified and linked to its technical documentation?,0.011869121,0.26864289339999997,D68681 HAL 4.0 MDS2 Form Rev 01.pdf,D68681,1,38,Document_Header (Continued),11,"YesVarian Depends on Software Composition Analysis (SCA) tool to identification of 3rd party components. For some 3rd party components the tool is unable to identify the version, but a majority of the components have an identified version. SBOM-2.4Are any additional descriptive elements identified?YesThe subsystem containing the component and component type. SBOM-3Does the device include a command or process method available to generate a list of software components installed on the device? YesProcess including the use of Software Composition Analysis (SCA) tool. SBOM-4Is there an update process for the SBoM?YesSBOM is updated for each release. SAHD-1Is the device hardened in accordance with any industry standards? No ROADMAP FOR THIRD PARTY COMPONENTS IN DEVICE LIFE CYCLE (RDMP) Manufacturer’s plans for security support of third-party components within the device’s life cycle. ROADMAP FOR THIRD PARTY COMPONENTS IN DEVICE LIFE CYCLE (RDMP) notes: PHYSICAL LOCKS (PLOK) notes:"
"How is technical documentation controlled, including versioning, approvals, and access?",0.011732464,0.325471491,D68685 HAL 4.0 Cybersecurity Statement Rev 01.docx.pdf,D68685,1,6,3.0 Definitions (Continued),2-3,"Management of Cybersecurity in Medical Devices” (September 2019) HAL 4.0 Cybersecurity Statement This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last E- D68685 01 Sign Page 3 of 9 Varian Confidential authorized manner (i.e., the assurance that no unauthorized users have access to the data, information, or system structures).3 Control: Means of managing risk, including policies, procedures, guidelines, practices or organizational structures, which can be administrative, technical, management, or legal in nature.4 Cybersecurity: The process of preventing unauthorized access, modification, misuse or denial of use, or the unauthorized use of information that is stored, accessed, or transferred from a medical device to an external recipient.5 Firewall: A network security system component that controls incoming and outgoing"
Are document control processes followed?,0.011597361,0.24842895839999998,D52223 HAL 4.0 Process Controls and Critical Components List rev03.pdf,D52223,3,2,Document_Header (Continued),3-4,"indicated in the Operation column: Operation Type Purpose / Example HAL 4.0 Process Controls and Critical Components List This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last e- D52223 03 Sign Format DND01T01 Rev 02   Page 4 of 23 Process controls intended for part / component procurement often setup at Mfg – Manufacture vendor with agreed quality metrics. Mfg – Transport VMS process controls required for transporting the product or individual components needed for installation and service. Mfg – Assembly Internal VMS manufacturing assembly process controls intended to assure quality and control the indicated failure mechanism. Mfg – Calibrate Internal VMS manufacturing calibration process controls intended to assure quality and control the indicated failure mechanism."
Is each device uniquely identified and linked to its technical documentation?,0.011508149,0.2606998506,D68681 HAL 4.0 MDS2 Form Rev 01.pdf,D68681,1,36,Document_Header (Continued),11,"PLOK-1Is the device software only? If yes, answer “N/A” to remaining questions in this section. No PLOK-2Are all device components maintaining personally identifiable information (other than removable media) physically secure (i.e., cannot remove without tools)? YesHalcyon/Ethos treatment device components are physically secure., however Halcyon/Ethos treatment device is not a long-term data store. PLOK-3Are all device components maintaining personally identifiable information (other than removable media) physically secured behind an individually keyed locking device? YesHalcyon/Ethos treatment device workstations and network infrastructure are physically secured in a locked cabinet. PLOK-4Does the device have an option for the customer to attach a physical lock to restrict access to removable media? YesLock is available at the HAL system cabinet. RDMP-1Was a secure software development process, such as ISO/IEC 27034 or IEC 62304, followed during product development?"
Is each device uniquely identified and linked to its technical documentation?,0.011331754,0.312641203,D70060 HAL 4.0 GSPR Checklist Rev2.docx.pdf,D70060,2,107,2. Canada Medical Device Regulations (CMDR) – 2024-12-14 (Continued),36-37,"3(23.4q) CMDR 21(i) AU EP 13.4(18) (q) for devices intended for use together with other devices and/or general purpose equipment: information to identify such devices or equipment, in order to obtain a safe combination, and/or information on any known restrictions to combinations of devices and equipment; EN ISO 20417:2021 Compatibility with other devices is covered in the Customer Release Note.. P1039653 Customer Release Note. Checklist for MDR GSPR, Canadian MDR, and Australian Essential Principles [Device Name] Revision Doc Number 2 D70060 Varian Confidential REG0507F08 Rev 04 This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 37 of 45 MDR GSPR 3(23.4r) CMDR 21(i) AU EP 13.4(21) (r) if the device emits radiation for medical purposes: detailed information as to the nature, type and where appropriate, the intensity and"
Who has responsibility for maintaining technical documentation?,0.011244561,0.331164747,D60919-ENU-Rev 02-HAL4.0 Master Validation Plan MVP.pdf,D60919,2,10,6.0 Responsibilities (Continued),4,"Generate MVP. Ensure validation activities are performed and documented. Log and track the status of the closure of the validation activities in MVP. Generate and execute activities for equipment, tests and process validations as required. Verify technical accuracy of the information presented related to their respective areas in this MVP. Evaluate changes to equipment/test/processes as to their effect on the validated state and their impact on product quality. Process/Validation Engineer Jun Zhao, Process Engineer Generate, Review, and Maintain MVP. Ensure validation activities are performed and documented. Review and approve all validation activities including the MVPs, protocols, and reports. Log and track the status of the closure of the validation activities in MVP. Evaluate changes to equipment/test/processes as to their effect on the validated state and their impact on product quality. Production manager Zhao lei, Sr Mgr, Production"
What criteria are used to classify a product as a medical device under applicable regulatory jurisdictions?,0.011201214,0.403019488,D70155-HAL 4.0 Construction Material Data Rev01.pdf,D70155,1,6,2.0 CMR and Endocrine-Disrupting Substances,4,"The device, parts of the device, or materials of which the device consists: ☐  are invasive and come into direct contact with the human body. ☐  (re)administer medicines, body liquids or other substances (including gases) to or from the body. ☐  transport or store such medicines, body fluids or substances (including gases) to be (re)administered to the body. ☒  None of the above. If ‘None of the above” is selected above, select ‘Not Applicable’ for the question below. No Justification or Label changes are required as related to CMR and/or ED substances. Does the device, part or material that 1) comes in direct contact with the body or 2) (re)administers medicines, body liquids, substances to or from the body or 3) transports or stores such medicines, body fluids or substances to be (re)administered to the body…..contain CMR and/or ED substances > 0.1% w/w? ☒ Not Applicable No Justification or Label changes are required as related to CMR and/or ED substances. ☐ No ☐ Yes"
Is documentation readily retrievable for audit and regulatory submission?,0.011201214,0.292751074,D30786 Halcyon 2.0 Regulatory Plan Rev 1.0.doc.pdf,D30786,1,97,8.2 EU Marketing Clearance Strategy > 8.2.1 ISD documentation requirements,50,"All ISD documentation must be submitted electronically to RA as documents are approved, and not at the end of the project. Additional documents may be required, depending upon evolving EU Regulatory reuirements. The table below details the documents for the Halcyon 2.0 ISD. Varian Document or ISD SectionDocument Example Functional Responsibility Doc update? Due Date 1 Index Index L1224, International Submission Dossier Contents Sheet Regulatory AffairsNewDTR 2 Statement of Indications for Use/Intended Use Statement of Indications for Use / Intended Use D12638 Halcyon Intended and Indications Product Management for Use New DOR 3 Device Description Accessory List for Halcyon Example D26687 Halcyon 1.0 Accessory and Component List Product ManagementNewDOR Device Description Example D12535 Halcyon 1.0 Device Product Management Description New DIR Marketing Specification New TBDMarketingDTR Sheets Photograph or photo-like image of the device D26790 Halcyon Photo Product ManagementDOR"
Does the documentation meet regulatory requirements for applicable markets?,0.011115014,0.358834684,D59836 HAL-Market History-Revision 04.docx.pdf,D59836,4,22,3.0 References,10-11,"1. Periodic Safety Update Report (Available in International Submission Dossier: MDR-ISD-0079) Document Signing Page This document has been reviewed and electronically signed by the following people: Workflow ID: 205230754, Doc Title: HAL-Market History-Revi, Doc No:D59836, Rev: 04, Approver: Susan Koehl (skoehl), Title: Product Management, Date: Tuesday, 09/05/2023 09:50 AM  Pacific Daylight Time, Meaning: I acknowledge my electronic signature carries the same meaning as a handwritten signature Workflow ID: 205230754, Doc Title: HAL-Market History-Revi, Doc No:D59836, Rev: 04, Approver: Stuart Crowther (scrowthe), Title: Regulatory Affairs, Date: Wednesday, 09/06/2023 01:55 AM Pacific Daylight Time, Meaning: I acknowledge my electronic signature carries the same meaning as a handwritten signature"
Who has responsibility for maintaining technical documentation?,0.01107216,0.331256092,D51403 HAL 4.0 - Physics Mode - UI Specification Document Rev03.docx.pdf,D51403,3,10,2 User Related > 2.2 Training,7-8,"The HAL 4.0 product will require training of new personnel and those with existing HAL knowledge. For brand new installs, an on-site training will be provided. For any upgrades, a remote training only will be provided to the QA persona. A detailed training plan will be created by the Global Contents & Standards and product management teams with input from UX and design validation. 2.3 Customer Facing Documentation The Global Product Labeling (GPL) is responsible for creating and delivering all customer facing documentation. Please refer to D51458 Dragon User Assistance Plan for further information. Chen – Medical Physicist Rev 03 HAL 4.0 (Confidential) Page 8 of 26"
