source,document_id,revision,chunk_index,title,page,folder_type,subfolder,score,rerank_score,text_content
D70060 HAL 4.0 GSPR Checklist Rev2.docx.pdf,D70060,2,59,2. Canada Medical Device Regulations (CMDR) – 2024-12-14 (Continued),21,Regulatory,International Submission Dossier,,,"This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 21 of 45 quantity, geometry and quality of the radiation emitted can be varied and controlled, and, if possible, monitored during treatment. c)Devices emitting ionising radiation intended for diagnostic radiology shall be designed and manufactured in such a way as to achieve an image and/or output quality that are appropriate to the intended medical purpose whilst minimising radiation exposure of the patient and user. d) Devices that emit ionising radiation and are intended for therapeutic radiology shall be designed and manufactured in such a way as to enable reliable monitoring and control of the delivered dose, the beam type, energy and, where appropriate, the quality of radiation. EN IEC 60601-2- 1:2021 EN 60601-1-3:2008+ A1:2013+A2:2021 Device safety is assured through the use of the"
D70154 HAL 4.0 Machinery Directive Checklist Rev 01.pdf,D70154,1,2,1. Checklist Form (Continued),2-3,Regulatory,Essential Requirements Checklist,,,"specifically to provide protection by means of a physical barrier; (g) ‘protective device’ means a device (other than a guard) which reduces the risk, either alone or in conjunction with a guard; (h) ‘intended use’ means the use of machinery in accordance with the information provided in the instructions for use; (i) ‘reasonably foreseeable misuse’ means the use of machinery in a way not intended in the instructions for use, but which may result from readily predictable human behavior. 1.1.2.  Principles of safety integration No Principles of safety integration specific to medical devices described in MDR Annex 1, GSPR 1, 3, 4, 5, 6, 7, 8, and EN14971 1.1.3.  Materials and products  No Covered MDR Annex 1, GSPR 10 1.1.4. Lighting  Yes To be addressed by EN14971 and in some cases portions of EN 60601-1;3rd ed. There are no serious hazards to the operator identified by the lighting of the Halcyon device. Varian Confidential Format L3689 Rev 02  Page 3 of 12 No. EHSR of MD 2006/42/EC"
D70154 HAL 4.0 Machinery Directive Checklist Rev 01.pdf,D70154,1,4,1. Checklist Form (Continued),3-4,Regulatory,Essential Requirements Checklist,,,"1.2.2. Control devices  Yes Only partially covered by MDR Annex I, GSPR 17, 21.3 and EN6061-1-6, EN 14971, and some particular standards (e.g. EN60601-2- 32). Double command not allowed by MD (except for stop controls and emergency stops) – to be addressed by EN 14971. Refer to table in Section 2.1 1.2.3 Starting devices  No Covered by MDR Annex I, GSPR 17,and EN 60601-11 1.2.4 Stopping  No Title only 1.2.4.1 Normal Stop  No Covered by MDR Annex I, GSPR 17 1.2.4.2 Operational Stop  No Covered by MDR Annex I, GSPR 17 1.2.4.3 Emergency Stop  No Covered by MDR Annex I, GSPR 17.1, 18.2 1.2.4.4 Assembly of machinery  No Covered by MDR Annex I, GSPR 17, and EN 60601-1 1.2.5 Selection of control or operating modes No Covered by MDR Annex I, GSPR 17, and EN 60601-1, EN 14971 1.2.6 Failure of the power supply  No Covered by MDR Annex I, GSPR 17.1, 18.3, and EN 60601-1, EN 60601-1-2, EN 14971 1.3 PROTECTION AGAINST MECHNICAL HAZARDS No  Title only Varian Confidential"
D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,421,6. The MSO shall only be used to power the console cabinet (Continued),241,Regulatory,Test Reports - Regulatory Compliance,,,"TRF No. IEC60601_1U l) regulatory requirements Procedures used: Deliverables associated with meeting Regulatory requirements, (e.g. IEC requirements) are located in the REG 0504 Regulatory Plan, which is referenced in the DND04T01 Design and Development Plan (DDP) Device records: D45739 HAL 4.0 Design and Development Plan D54978 HAL 4.0 Regulatory Plan P 5.2.3 [B, C] The MANUFACTURER includes RISK CONTROL measures implemented in software in the requirements as appropriate to the MEDICAL DEVICE SOFTWARE Procedures used: The RSK01 Medical Device Risk Management procedure scope includes all Varian medical devices. The RSK0101T01 Risk Management Plan describes risk control measures. The RSK0101T02 Risk Management Report (RMR) includes risks from hardware failures that are controlled via software, as well as potential software defects Device records: D59555 HAL 4.0 Risk Management Plan D56979 HAL 4.0 Risk Management Report P"
D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,423,6. The MSO shall only be used to power the console cabinet (Continued),242-243,Regulatory,Test Reports - Regulatory Compliance,,,"(PRD) references the Requirements Management Works Instruction Device records: D41377 HAL 4.0 Product Requirements P 5.2.6 [A, B, C] The MANUFACTURER verifies and documents that the software requirements: P Page 243 of 352                           Report No.106485676MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1U a) implement SYSTEM requirements including those relating to RISK CONTROL Procedures used: DND01 Design and Development Procedure and RSK01 Medical Device Risk Management specify developing requirements that address performance and risks. Risk control implementation is documented in RSK0101T02 Risk Management Report (RMR) DND05T01 System Requirements Specification (SyRS) documents requirements, including items related to risk control Requirements are verified and this activity is documented per DND0101 RACI for Design and Development, and DND07F04 Test Readiness Reviews (TRRs) per DND01 Design and Development Procedure"
D78333 Ethos 4.0 Description of interoperability Study Rev01.docx.pdf,D78333,1,40,1. Basic Information > 2.2 Interoperation Maintenance,21,Regulatory,Test Reports - Regulatory Compliance,,,"Support & Maintenance Process Customers and any employee that experience erroneous behavior are advised to report these errors to the business unit that has sold the TPS system. These reports are analyzed by the respective complaint handling department. Every error is inserted into the corrective and preventive action (CAPA) and complaint handling procedures and, where necessary, is reproduced in the laboratory for analysis. The complaint handling and the CAPA procedures ensure that the complaints are assessed for the need of Medical Device Reporting (MDR). Also ensured are a root cause analysis of the erroneous behavior and the provision of appropriate change requests for fixing the error. Depending on the significance of the problem, required changes are made by returning to the appropriate development state and implementing appropriate fixes. The changes are then retested and re-evaluated and are either distributed as updates through standard service"
D78333 Ethos 4.0 Description of interoperability Study Rev01.docx.pdf,D78333,1,42,1. Basic Information > 2.2 Interoperation Maintenance (Continued),21-22,Regulatory,Test Reports - Regulatory Compliance,,,"schedule, resources, risk analysis, test planning and test results. Document Signing Page This document has been reviewed and electronically signed by the following people: Workflow ID: 205293247, Doc Title: Description of interoperability Study, Doc No:D78333, Rev: 01, Approver: Susan Koehl (skoehl), Title: Sr Product Manager, Date: Wednesday, 09/06/2023 07:18 AM  Pacific Daylight Time, Meaning: I acknowledge my electronic signature carries the same meaning as a handwritten signature Workflow ID: 205293247, Doc Title: Description of interoperability Study, Doc No:D78333, Rev: 01, Approver: Dan Zhou (wd975551), Title: China RA, Date: Thursday, 09/07/2023 01:22 AM Pacific Daylight Time, Meaning: I acknowledge my electronic signature carries the same meaning as a handwritten signature"
D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,479,6. The MSO shall only be used to power the console cabinet (Continued),291-292,Regulatory,Test Reports - Regulatory Compliance,,,"to correct the problem, or document the rationale for taking no action Procedures used: DND15 DR Handling Work Instruction specifies that a DND04F01 Change Request is to be created when changes are to be made Device records: D52172 Halcyon 4.0 Verification Plan P Page 292 of 352                           Report No.106485676MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1U 9.3 [A, B, C] The MANUFACTURER advises relevant parties of the existence of the problem, as appropriate Procedures used: RSK0101T02 Risk Management Report (RMR) documents problems and their mitigations As appropriate, defects are reported to customers in the User Documentation Customer Release Note, Known Issues section, for each product release Device records: User Documentation: Customer Release Note D56979 HAL 4.0 Risk Management Report P 9.4 [A, B, C] The MANUFACTURER approves and implements all CHANGE REQUESTS, observing the requirements of the change control PROCESS"
D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,481,6. The MSO shall only be used to power the console cabinet (Continued),293-294,Regulatory,Test Reports - Regulatory Compliance,,,"Management Plan P 9.6 [A, B, C] The MANUFACTURER performs analysis to detect trends in PROBLEM REPORTS Procedures used: Trend analysis is included in: DND15 DR Handling Work Instruction PS02 Complaint Handlings DND01 Design and Development Procedure includes analysis of complaints DND04T01 Design and Development Plan (DDP) references DND01 Design and Development Procedure RSK01 Medical Device Risk Management references PS02 Complaint Handlings and RSK0101T01 Risk Management Plan Device records: D45739 HAL 4.0 Design and Development Plan D59555 HAL 4.0 Risk Management Plan D52172 Halcyon 4.0 Verification Plan P 9.7 [A, B, C] The MANUFACTURER verifies resolutions to determine whether: P Page 294 of 352                           Report No.106485676MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1U a) problem has been resolved and the PROBLEM REPORT has been closed Procedures used: DND15 DR Handling Work Instruction describes"
D54550 HAL 4.0 Validation Plan Rev 05.docx.pdf,D54550,5,21,2. Validation Overview > 2.2.5 Regression Testing (Continued),12,Design Validation,Verification and Validation Plans,,,"results in ADLM ADO are considered as still valid. Risk Control Measures Validation 2.3 All Risk Control Measures in which the operator is human shall be validated by the validation team of domain experts for their effectiveness. Actors are defined in section 2.1. Additionally, User Experience (UX) will select and cover a subset of the RCMs. RCMs covered by UX will be listed in the Summative Evaluation Test Plan (17).  If the UX results of testing RCMs differ from the results found from testing performed by the validation team, a combined review report will be created to ensure cohesive interpretation of results, and justifications will be given as needed. All Risk Control Measures in which the operator is process shall be validated by Manufacturing and managed by Manufacturing planning documents. The following table provides guidance on the activities to be considered. For every major release all the RCM requirements should be regressed. For minor releases an impact analysis-based"
D54550 HAL 4.0 Validation Plan Rev 05.docx.pdf,D54550,5,23,2. Validation Overview > 2.2.5 Regression Testing (Continued),13,Design Validation,Verification and Validation Plans,,,"performed across other devices that may be installed as part of the customer ecosystems. The scope of Solution Interoperability Validation is defined in the HAL 4.0 Marketing Launch Plan (6). Validation will be performed on the latest released version. Compatibility testing is managed by verification testing, refer to the HAL 4.0 Verification Plan (4). Interoperability verification is responsible for verifying all product combinations, refer to the HAL 4.0 Verification Plan (4). The table below outlines the potential solution interoperability validation. HAL 4.0 Supporting Devices / Components Milestone for Deliverable Test Approach Product Version Product Name(s) Version Name(s) Halcyon 4.0 ARIA Base Release 17.0 DOR Test according to HAL 4.0 Validation Test Design Strategy (13) using Baden validation test environment. ARIA OIS for RO 17.0 ARIA RTM 17.0 Eclipse 17.0 Queue 17.0 Halcyon 4.0 ARIA Base Release 16.0 DOR Test according to HAL 4.0 Validation Test Design Strategy"
D95548 HAL 4.0MR2 (HAL Evolve) Product Versioning Memo Rev 01.pdf,D95548,1,4,3.0 Version Consideration,2,Regulatory,Regulatory Plans,,,"The following questions were answered based on the project scope and then each answer was matched with the type of possible enhancement to determine the versioning strategy. Question  Note Yes/No Rationale Is this update covered under a service agreement?  *NO NO, this is a commercialization offering only Does this influence regulatory submissions? **YES NMPA for China, No impact to CE Mark or 510(k) Although YES to this item likely suggests a “Minor” release. However, scope of this submission only involves change registration by adding a new model name by leveraging previously submitted test results and/or documents. Therefore, a “Maintenance” release is acceptable. Is there a change to the intended use? ***NO Intended Use does not change, only the new model would be included in the description. Are major new clinical functionalities added? ***NO NO changes to features of functionality Are there changes in the software safety class? ***NO NO changes to features of functionality,"
D95548 HAL 4.0MR2 (HAL Evolve) Product Versioning Memo Rev 01.pdf,D95548,1,7,3.0 Version Consideration (Continued),3,Regulatory,Regulatory Plans,,,"and after change. e.g., change from windows to iOS, change from 32-bit to 64 bit, change from general use to mobile platform etc. The patches of operation system and supporting software are not considered as significant changes unless it has impact to safety and effectiveness of medical device. NO Software changes will be limited to support a new model name in About Box. Is there any significant change of software described as below: 2. Change of clinical functions which has impact on clinical decision capability, clinical decision outcome, clinical decision workflow, user clinical actions or has impact on personal safety including patient, user, service staff etc. These changes including not limited to: a. New clinical application b. New operation mode NO The new Halcyon model will support an existing set of features that are commercialized with the Evolve license package. Will support a new license and software changes to support a new HAL model"
D70036 HAL 4.0 Software Description Report China Submission Rev 03 .docx.pdf,D70036,3,0,Document_Header,1-3,Regulatory,,,,"Halcyon/Halcyon Evolve China Medical Device Software Description Report This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc NumberRev. Date Last date D7003603 of e-sign Format L10684 Rev 02  Page 1 of 50 <Halcyon, Halcyon Evolve> Document Approval NameTitleDate Signature Susan KoehlSenior Product Manager See electronic signature record Shah, DipeshSr. Manager, Software Engineering attached Fan XuChina Regulatory Affairs DOCUMENT CHANGE RECORD REV Date AuthorN ame Description of Changes 01 19 OCT 2022 DW  Initial release for HAL 4.0 02 1 May 2023 DW, DZ Updated post China NMPA type testing where applicable. 03 23 Sep 2025 Fan Xu Updated for HAL 4.0 MR2 China Medical Device Software Description Report Halcyon/Halcyon Evolve China Medical Device Software Description Report This document contains confidential, proprietary information of Varian"
D68685 HAL 4.0 Cybersecurity Statement Rev 01.docx.pdf,D68685,1,0,Document_Header,1,Risk Management,Risk Management Plans,,,"HAL 4.0 Cybersecurity Statement This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last E- D68685 01 Sign Page 1 of 9 Varian Confidential HAL 4.0 TABLE OF CONTENTS 1.0 Purpose ......................................................................................................................................... 2 2.0 Scope ............................................................................................................................................. 2 3.0 Definitions ..................................................................................................................................... 2 4.0 General Principles for Cybersecurity in Varian Medical Devices .............................................. 4"
D70060 HAL 4.0 GSPR Checklist Rev2.docx.pdf,D70060,2,0,Document_Header,1,Regulatory,International Submission Dossier,,,"Checklist for MDR General Safety and Performance Requirements (GSPR), Canadian Medical Device Regulations, and Australian Essential Principles HAL4.0 Revision Doc Number 2 D70060 Varian Confidential REG0507F08 Rev 04 This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 1 of 45 HAL 4.0 MDR-ISD-0079 Device: Product Number  Description N/AHalcyon/Ethos Radiotherapy System Optional Components: Product Number  Description N/AN/A Document Approval Authored By: NameTitleSignature Date Stuart Crowther Regulatory Affairs See electronic signature record attached Verified and Approved By: NameTitle Signature Date N/AProject Management No Project Manager involved with this activity. Regulatory Affairs Management1 See electronic signature record attached Cindy Jones Document Change Record Rev Date Author Name  Description of Changes 1"
D73991 HAL 4.0 IEC 80001 Test Report Rev 01.pdf,D73991,1,0,Document_Header,1,Design Output Specification,Labeling,,,IEC Security Verification Verification Test Case ID Requirement Description Requirement IEC Security Capability Description Capability Justification for failed tests Test Status
D68686 HAL 4.0 Cybersecurity Summary Report Rev 03.pdf,D68686,3,0,Document_Header,1,Risk Management,Risk Management Reports,,,"HAL 4.0 Cybersecurity Summary Report This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date W hen last D68686 03 approver signed 1 of 16 HAL HAL 4.0 Approvers Signatures Name Function/Role Date Signature The electronic signature will be appended to the last Stephen Thompson  Dir, Product Management page of the secured document. Nikola Nikolov CYSE Krystina Szafran Risk Management Perumal Poopathy CYSO/PSO Dipesh Shah Engineering Manager Chi Tran Design Quality Assurance Participants and Reviewers Name Function/Role Ali Rezaei Director Regulatory Affairs Mitko Katsev CYSE Nitin Mangi Sr Mgr, Systems Engineer Suwarna Joshi Software Engineer Magdalena Constantin Sr Product Manager Stuart Crowther Sr Regulatory Specialist Joel Linn PSE Hardware Specialist Paul Ugalde Product Support Eng Spec HW Andy Brenner Dir, Project/Program Design"
D70060 HAL 4.0-GSPR Checklist.pdf,D70060,,0,Document_Header,1,Regulatory,Essential Requirements Checklist,,,"Checklist for MDR General Safety and Performance Requirements (GSPR), Canadian Medical Device Regulations, and Australian Essential Principles HAL 4.0 Revision Doc Number 1 D70060 Varian Confidential REG0507F08 Rev 01 This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 1 of 40 HAL 4.0 Device: Product Number Description N/A Halcyon/Ethos Radiotherapy System Optional Components: Product Number  Description N/A N/A Document Approval Authored By: Name Title Signature Date Stuart Crowther RA representative See electronic signature record attached Verified By: Name Title  Signature Date Felicia Hong Project Manager See electronic signature record attached Approved By: Name Title Signature Date Ali Rezaei Regulatory Submissions Manager See electronic signature record attached Document Change Record Rev Date  Author Name  Description of Changes"
D101278 106485676MIN-002 IEC60601-1-6 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101278,1,0,Document_Header,1,Regulatory,Test Reports - Regulatory Compliance,,,"This Verification is for the exclusive use of Intertek's client and is provided pursuant to the agreement between Intertek and its Client. Intertek's responsibility and liability are limited to the terms and conditions of the agreement. Intertek assumes no liability to any party, other than to the Client in accordance with the agreement, for any loss, expense or damage occasioned by the use of this Verification. Only the Client is authorized to permit copying or distribution of this Verification. Any use of the Intertek name or one of its marks for the sale or advertisement of the tested material, product or service must first be approved in writing by Intertek. The observations and test/inspection results referenced in this Verification are relevant only to the sample tested/inspected. This Verification by itself does not imply that the material, product, or service is or has ever been under an Intertek certification program."
104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,0,Document_Header,1,Regulatory,Test Reports - Regulatory Compliance,,,"This Verification is for the exclusive use of Intertek's client and is provided pursuant to the agreement between Intertek and its Client. Intertek's responsibility and liability are limited to the terms and conditions of the agreement. Intertek assumes no liability to any party, other than to the Client in accordance with the agreement, for any loss, expense or damage occasioned by the use of this Verification. Only the Client is authorized to permit copying or distribution of this Verification. Any use of the Intertek name or one of its marks for the sale or advertisement of the tested material, product or service must first be approved in writing by Intertek. The observations and test/inspection results referenced in this Verification are relevant only to the sample tested/inspected. This Verification by itself does not imply that the material, product, or service is or has ever been under an Intertek certification program."
D75414 HAL 4.0 Cybersecurity Summary Report China Submission Rev 01.pdf,D75414,1,0,Document_Header,1-3,Regulatory,Test Reports - Regulatory Compliance,,,"Halcyon 4.0 China Self-developed Software Cybersecurity Study Report This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last e- D75414 01 Sign Format L13138 Rev 02  Page 1 of 21 HAL 4.0 Document Approval Name Title Date Signature Dipesh Shah Manager, Engineering See electronic signature record attached Susan Koehl Product Manager Dan Zhou Regulatory Affairs Expert, China Mitko Katsev Cybersecurity SME DOCUMENT CHANGE RECORD REV Date Author Name Description of Changes 01 May 1, 2023 Mitko Katsev, Dan Zhou Initial release for Initial NMPA Domestic submission Self-developed Software Cybersecurity Study Report 自研软件网络安全研究报告 Halcyon 4.0 China Self-developed Software Cybersecurity Study Report This document contains confidential, proprietary information of Varian"
D78266 HAL 4.0 External Software Environment Assessment Report Rev01.docx.pdf,D78266,1,0,Document_Header,1-3,Regulatory,Test Reports - Regulatory Compliance,,,"Format DND04T01 Rev 01 Page 1 Ethos 4.0 Radiotherapy System External Software Environment Assessment Report This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last e- D78266 01 Sign Product Model: Ethos Radiotherapy system Release Version: 4.0 Document Approval Name  Role  Date  Signature Susan Koehl  Sr.Product Manager Dan Zhou China Regulatory Affairs See electronic signature record attached Dipesh Shah Software Engineering Document Change Record Revision Level  Date  Prepared By  Change Description 01  See Signature Page  Dan Zhou For Ethos 4.0 Submission External Software Environment Assessment Report Ethos 4.0 External Software Environment Assessment Report This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written"
D59555 HAL 4.0 Risk Management Plan rev03.pdf,D59555,3,0,Document_Header,1,Risk Management,Risk Management Plans,,,"HAL 4.0 Risk Management Plan Revision Doc Number 03 D59555 Varian Confidential RSK0101T01 Rev 03 This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Page 1 of 11 HAL 4.0 Risk Management Plan Approvers Name Function Signature/Date Author Krystina Szafran Risk Management eSign, see last page Approval Gwendolyn Brunner Medical Affairs eSign, see last page Approval Chi Tran Quality Assurance eSign, see last page Approval Stephen Thompson Product Management eSign, see last page Reviewer Susan Koehl Product Management N/A Reviewer Sean Herries Design Implementation  N/A Reviewer Stuart Crowther Regulatory Affairs N/A DOCUMENT CHANGE RECORD Revision Date Author Description of change 01 24 March 2021 Krystina Szafran Initial Release Template Update, doc number update from D44584 HAL Krystina Szafran"
D68779 HAL 4.0 Risk Control Measures Trace Matrix rev01.pdf,D68779,1,0,Document_Header,1-3,Risk Management,Risk Management Reports,,,"HAL 4.0 Risk Control Measures Trace Matrix This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last e- D68779 01 Sign Format DND01T01 Rev 02   Page 1 of 176 HAL 4.0 Signatures Name Title Date Signature Krystina Szafran Risk Manager Chi Tran QA e-signatures attached Bernard Zee Verification Laura Buchanan Validation Rev. Date Initials Document Change Record 01 Date of last e-sign K Szafran Initial Version Risk Control Measures Trace Matrix HAL 4.0 Risk Control Measures Trace Matrix This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last e- D68779 01 Sign Format DND01T01 Rev 02   Page 3 of 176"
D68492 HAL 4.0 Validation Test Results  Interim Rev 01.docx.pdf,D68492,1,0,Document_Header,1-3,Design Validation,Test Reports,,,"HAL 4.0 Validation Test Results – Interim This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last e- 01 D68492 Sign Format DND01T01 Rev 02   Page 1 of 27 HAL 4.0 Signatures Name Title Date Signature Validation Lead Laura Buchanan The electronic signature record will be appended to the last page of the secured document. Stephen Thompson  Product Management Felicia Hong  Sr. Program Manager Chi Tran  Quality Assurance Andres Graf  Engineering Lead Priti Kamat  Field NPI Manager Rev. Date Initials Document Change Record 01 LB Initial Version Date of Last eSign. HAL 4.0 Validation Test Results – Interim HAL 4.0 Validation Test Results – Interim This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems."
D70154 HAL 4.0 Machinery Directive Checklist Rev 01.pdf,D70154,1,0,Document_Header,1-2,Regulatory,Essential Requirements Checklist,,,Varian Confidential Format L3689 Rev 02  Page 1 of 12 Halcyon / Ethos™ radiotherapy system Machinery Directive Checklist Identification Number: D70154 Date: 19 October 2022 Author: Name: Title: Signature: Date: Stuart Crowther Senior Regulatory Specialist See e-sign on final page Verified By: Name: Title: Signature: Date: Chi Tran Senior QA Engineer See e-sign on final page Approved By: Name: Title: Signature: Date: Felicia Hong Sr Program Manager See e-sign on final page Varian Confidential Format L3689 Rev 02  Page 2 of 12
D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,0,Document_Header,1,Regulatory,Test Reports - Regulatory Compliance,,,"This Verification is for the exclusive use of Intertek's client and is provided pursuant to the agreement between Intertek and its Client. Intertek's responsibility and liability are limited to the terms and conditions of the agreement. Intertek assumes no liability to any party, other than to the Client in accordance with the agreement, for any loss, expense or damage occasioned by the use of this Verification. Only the Client is authorized to permit copying or distribution of this Verification. Any use of the Intertek name or one of its marks for the sale or advertisement of the tested material, product or service must first be approved in writing by Intertek. The observations and test/inspection results referenced in this Verification are relevant only to the sample tested/inspected. This Verification by itself does not imply that the material, product, or service is or has ever been under an Intertek certification program."
D78333 Ethos 4.0 Description of interoperability Study Rev01.docx.pdf,D78333,1,0,Document_Header,1-2,Regulatory,Test Reports - Regulatory Compliance,,,"Product Model: Ethos Radiotherapy System Description of interoperability Study This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date See e Sign 01 D78333 page Product Name: Medical Linear Accelerator Product Models: Ethos Radiotherapy System Release Version Number: 4.0 Document Approval Name  Role  Date  Signature Susan Koehl  Sr.Product Manager See electronic signature record attached Dan Zhou  China Regulatory Affairs Document Change Record Revision Level  Prepared By  Change Description 01  Dan Zhou For initial submission to Ethos 4.0 互操作性研究资料综述 Description of interoperability Study data Product Model: Ethos Radiotherapy System Description of interoperability Study This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced"
D54550 HAL 4.0 Validation Plan Rev 05.docx.pdf,D54550,5,0,Document_Header,1,Design Validation,Verification and Validation Plans,,,"HAL Treatment Delivery Platform 4.0 Validation Plan This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of Last D54550 05 eSign DND09T01 Rev 03   Page 1 of 36 ris HAL Treatment Delivery Platform 4.0 Approvals Name Role/Function Date Signature Felicia Hong Sr. Program Manager The electronic signature record will be appended to the last page of the secured document. Susan Koehl Product Management Stephen Thompson Product Management Andres Graf Engineering Lead Laura Buchanan Validation Lead Priti Kamat Field NPI Manager Chi Tran Quality Assurance Rev. Date Name Document Change Record 05 18 Aug 2022 L. Buchanan Feature list updated in section 2.2.1.2 Service Features.  Self-enabled remote Access  Gantry balance tool  One-click imager calibration  LEDs for visual diagnostics for the XL imager"
D95548 HAL 4.0MR2 (HAL Evolve) Product Versioning Memo Rev 01.pdf,D95548,1,0,Document_Header,1,Regulatory,Regulatory Plans,,,"HAL 4.0 MR2 (HAL Evolve) Product Versioning Memo for New China Model Revision Doc Number 01 D95548 Varian Confidential REG0508F02 Rev 01 This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 1 of 4 Document Approval Name Title Date Signature Sylvie SpiessensHAL Owner, Product Management Manager See electronic signature record attached Hailing XiaoSenior Business Program Manager, China Nakul VatsDesign Quality Engineer Xiaobin ChouManager, Regulatory Affairs Stuart CrowtherSr Regulatory Affairs Analyst Participants and Reviewers Name Title / Function Susan KoehlProduct Management Sajal RaikarProject Management Dipesh ShahR&D Engineering Lead Document Change Record Rev Date Reason for Change Description of Change Author Name 01 8 Sep, 2025Initial release Initial release Susan Koehl/Stuart Crowther Versioning Memo"
